iter	Passed	Remaining
791	3175	834
792	3179	829
793	3182	825
794	3186	821
795	3189	817
796	3193	813
797	3195	808
798	3199	804
799	3202	800
800	3205	796
801	3210	792
802	3215	788
803	3219	784
804	3222	780
805	3225	776
806	3229	772
807	3232	768
808	3235	763
809	3238	759
810	3241	755
811	3245	751
812	3248	747
813	3252	743
814	3256	739
815	3261	735
816	3265	731
817	3268	727
818	3271	723
819	3275	718
820	3277	714
821	3280	710
822	3290	707
823	3294	703
824	3300	700
825	3305	696
826	3308	692
827	3312	688
828	3315	683
829	3318	679
830	3321	675
831	3324	671
832	3327	667
833	3330	662
834	3333	658
835	3337	654
836	3341	650
837	3346	646
838	3351	643
839	3355	639
840	3358	635
841	3362	630
842	3365	626
843	3368	622
844	3371	618
845	3374	614
846	3378	610
847	3381	606
848	3385	602
849	3392	598
850	3396	594
851	3399	590
852	3403	586
853	3406	582
854	3410	578
855	3413	574
856	3416	570
857	3420	566
858	3423	561
859	3426	557
860	3432	554
861	3436	550
862	3440	546
863	3443	542
864	3450	538
865	3454	534
866	3460	530
867	3463	526
868	3466	522
869	3470	518
870	3474	514
871	3480	510
872	3486	507
873	3490	503
874	3494	499
875	3497	495
876	3500	491
877	3504	486
878	3507	482
879	3510	478
880	3513	474
881	3517	470
882	3523	466
883	3528	462
884	3531	458
885	3536	455
886	3539	450
887	3543	446
888	3546	442
889	3550	438
890	3552	434
891	3555	430
892	3559	426
893	3562	422
894	3566	418
895	3571	414
896	3575	410
897	3578	406
898	3581	402
899	3584	398
900	3587	394
901	3590	390
902	3593	386
903	3596	381
904	3600	377
905	3603	373
906	3607	369
907	3613	366
908	3621	362
909	3625	358
910	3628	354
911	3631	350
912	3634	346
913	3638	342
914	3641	338
915	3644	334
916	3647	330
917	3650	326
918	3654	322
919	3660	318
920	3664	314
921	3667	310
922	3671	306
923	3674	302
924	3677	298
925	3680	294
926	3683	290
927	3686	286
928	3690	282
929	3694	278
930	3698	274
931	3702	270
932	3708	266
933	3711	262
934	3715	258
935	3719	254
936	3722	250
937	3725	246
938	3728	242
939	3731	238
940	3734	234
941	3738	230
942	3741	226
943	3744	222
944	3751	218
945	3757	214
946	3760	210
947	3764	206
948	3767	202
949	3770	198
950	3773	194
951	3777	190
952	3780	186
953	3783	182
954	3786	178
955	3790	174
956	3802	170
957	3807	166
958	3810	162
959	3814	158
960	3817	154
961	3820	150
962	3823	146
963	3826	142
964	3829	138
965	3832	134
966	3836	130
967	3841	126
968	3845	123
969	3848	119
970	3851	115
971	3854	111
972	3859	107
973	3862	103
974	3865	99
975	3867	95
976	3871	91
977	3874	87
978	3878	83
979	3882	79
980	3886	75
981	3890	71
982	3894	67
983	3897	63
984	3900	59
985	3903	55
986	3906	51
987	3909	47
988	3912	43
989	3915	39
990	3918	35
991	3921	31
992	3926	27
993	3931	23
994	3935	19
995	3938	15
996	3941	11
997	3945	7
998	3948	3
999	3951	0
